add_suspect,added_death,cumulative_death,cumulative_diagnosis,cumulative_suspect,name,new_diagnosis,province,published_at
86,1,3,342,236,北京市,5,北京市,2020-02-10
129,1,2,96,278,天津市,5,天津市,2020-02-10
15,0,2,239,44,河北省,21,河北省,2020-02-10
27,0,0,122,58,山西省,3,山西省,2020-02-10
2,0,0,58,10,内蒙古自治区,0,内蒙古自治区,2020-02-10
102,0,0,108,331,辽宁省,1,辽宁省,2020-02-10
24,0,1,81,47,吉林省,1,吉林省,2020-02-10
77,1,8,360,181,黑龙江省,29,黑龙江省,2020-02-10
88,0,1,302,180,上海市,7,上海市,2020-02-10
19,0,0,515,64,江苏省,23,江苏省,2020-02-10
63,0,0,1117,305,浙江省,25,浙江省,2020-02-10
33,1,4,860,92,安徽省,30,安徽省,2020-02-10
19,0,0,267,72,福建省,6,福建省,2020-02-10
55,0,1,804,170,江西省,32,江西省,2020-02-10
28,0,1,486,66,山东省,27,山东省,2020-02-10
252,1,7,1105,573,河南省,32,河南省,2020-02-10
1814,103,974,31728,16687,湖北省,2097,湖北省,2020-02-10
93,0,1,912,136,湖南省,33,湖南省,2020-02-10
36,0,1,1177,148,广东省,26,广东省,2020-02-10
114,0,1,215,257,广西壮族自治区,5,广西壮族自治区,2020-02-10
58,0,3,142,187,海南省,6,海南省,2020-02-10
164,0,2,486,427,重庆市,18,重庆市,2020-02-10
116,0,1,417,475,四川省,12,四川省,2020-02-10
10,0,1,118,67,贵州省,9,贵州省,2020-02-10
30,0,0,149,109,云南省,8,云南省,2020-02-10
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-10
71,0,0,219,389,陕西省,6,陕西省,2020-02-10
8,0,2,86,20,甘肃省,1,甘肃省,2020-02-10
0,0,0,18,0,青海省,0,青海省,2020-02-10
2,0,0,53,33,宁夏回族自治区,4,宁夏回族自治区,2020-02-10
1,0,0,55,33,新疆维吾尔自治区,6,新疆维吾尔自治区,2020-02-10
0,0,0,18,0,台湾省,0,台湾省,2020-02-10
0,0,1,42,0,香港特别行政区,6,香港特别行政区,2020-02-10
0,0,0,10,0,澳门特别行政区,0,澳门特别行政区,2020-02-10
94,0,2,337,207,北京市,11,北京市,2020-02-09
120,0,1,91,292,天津市,3,天津市,2020-02-09
9,0,2,218,61,河北省,12,河北省,2020-02-09
18,0,0,119,63,山西省,4,山西省,2020-02-09
3,0,0,58,12,内蒙古自治区,4,内蒙古自治区,2020-02-09
81,0,0,107,280,辽宁省,2,辽宁省,2020-02-09
15,0,1,80,40,吉林省,2,吉林省,2020-02-09
